S/N,Title,Address,Phone,Fax,Email
7,Seimpi School of Music,"90 Hougang Avenue 10 #05-04/05 Hougang Mall, 538766",6343 5347,,info@seimpi-music.com.sg
8,Seimpi School of Music,"2 Jurong East Central 1 #04-13/14 JCube, 609731",6262 1193,,info@seimpi-music.com.sg
9,Sejong Korean Language School,"10 Anson Road #10-25 International Plaza, 079903",8688 8803,,contact@sejong.com.sg
10,Sekolah Ugama Radin Mas,"c/o 50 Telok Blangah Way, 098801",6272 5309,6270 2153,johan@bapa.org.sg
11,Serena's Greenhouse Learning Centre,"Blk 501 Jurong West Street 51 #03-263, 640501",9873 6115,,serenagreenhouse@gmail.com
12,Shangyin Music School,"Blk 844 Sims Avenue #01-714, 400844",6742 9359,6746 5763,shangyinmusic@hotmail.com
13,Shi-Hua Learning Center,"Blk 515 Bedok North Avenue 2 #01-203, 460515",6282 7881,,shihualc@outlook.com
14,Signature Music School,"Blk 134 Jurong Gateway Road #02-309K, 600134",6566 3456,,signature.music.school@gmail.com
15,Silversnow Music School,"50 East Coast Road #02-90 Roxy Square, 428769",6440 6805,,silversnowmusic@gmail.com
16,Simon Eio Learning Lab,"Blk 603 Clementi West Street 1 #01-34, 120603",6774 2157,6774 2157,admin@selearningcentre.com.sg
17,Simple Plan Learning Lab,"Blk 412 Bedok North Avenue 2 #01-132, 460412",9151 1488,,simpleplanlearninglab@gmail.com
18,Simply Education Tuition Centre,"Blk 18 Jalan Membina #04-05, 164018",6784 0790,,tuition@simplyeducation.com.sg
19,Simply Education Tuition Centre (Hougang) [fka Simply Mathematics and Simply Science Tuition Centre],"Blk 806 Hougang Central #03-154, 530806",6784 0790,,tuition@simplyeducation.com.sg
20,Singa Professor Academy,"263A Upper Thomson Road, 574390",6909 3997,,enquiry@singprof.sg
1,Singapore Ballet Academy,"51 Waterloo Street #04-01/02/03, 187969",6337 9125,6337 9125,spballet@singnet.com.sg
2,Singapore Gujarati School,"225 Joo Chiat Road, 427488",6345 2257,6348 1742,admin@sgsl.org.sg
3,Singapore Institute of Science,"593A Serangoon Road, 218207",6298 6420,6293 6824,enquiry@instituteofscience.com.sg
4,Singapore Sports School,"1 Champions Way, 737913",6766 0100,6766 2100,enquire@sportsschool.edu.sg
5,Skylace Language School,"Blk 261 Waterloo Street #01-09 Waterloo Centre, 180261",6297 1971,6297 0488,admin@skylace.com.sg
6,SL Education Centre,"Blk 84 Bedok North Street 4 #01-19, 460084",6444 6457,,Shuren1@singnet.com.sg
7,SL Learning Hub,"Blk 267 Tampines Street 21 #01-37, 520267",6444 6457,,sl@sleducation.edu.sg
8,Smart Link Tuition Centre,"Blk 501 Jurong West Street 51 #02-263 & #04-263, 640501",6560 1338,,
9,Smart Science Lab,"101 Thomson Road #01-32 United Square, 307591",6255 4551,6255 6442,info@smartsciencelab.com.sg
10,SmartLab Education Centre (Bishan),"Blk 228 Bishan Street 23 #B1-71, 570228",6459 2351,6459 2981,
11,SmartLab Education Centre (Hougang),"Blk 204 Hougang Street 21 #02-113, 530204",6487 7327,,
12,SmartLab Education Centre (Woodlands),"Blk 818 Woodlands Street 82 #01-419, 730818",6363 2383,,tony@smartlab.com.sg
13,Smartminds Learning Centre [fka K-Tuition Learning Centre],"Blk 163 Bukit Merah Central #03-3587, 150163",6278 2272,,
14,Smile Asia Education Centre,"420 North Bridge Road #03-01 North Bridge Centre, 188727",6333 4417,,info@smileasia.sg
15,Sonare Music School,"1 Sengkang Square #03-24 Compass One, 545078",6547 3456,,sonaremusic@hotmail.sg
16,Sonata Music School,"Blk 140 Teck Whye Lane #02-353 & #02-357, 680140",6765 3174,6762 5035,sonata.mh@pacific.net.sg
17,South Yishun Tuition Centre,"Blk 845 Yishun Street 81 #03-184, 760845",6752 7371,,
18,Spanish Academy,"101 Thomson Road #01-73/74/75/76 United Square, 307591",6904 8803,,info@spanishacademy.com.sg
19,Spanish Worlld School [fka Las Lilas School],"180B Bencoolen Street #08-01/02 The Bencoolen, 189648",6333 3484,6333 3241,enquiries@laslilasschool.com
20,Spring Ahead Education Centre,"Blk 116 Jalan Bukit Merah #01-1629, 160116",8661 6482,,springaheadsingapore@gmail.com
1,Spring Tuition Centre,"Blk 824 Tampines Street 81 #01-18, 520824",6784 6742,6784 7790,spring18@pacific.net.sg
2,St Joseph's Institution International,"490 Thomson Road, 298191",6353 9383,6354 3103,maria.ciola@sji-international.com.sg
3,St. Paul Learning Centre,"Blk 846 Yishun Ring Road #01-3611 & #01-3613 (2nd Storey), 760846",9736 7849,,jo-114@hotmail.com
4,Stalford Learning Centre (AMK),"53 Ang Mo Kio Avenue 3 #03-05/06, 569933",6753 3533,6752 8769,ruby@stalford.com.sg
5,Stalford Learning Centre (New Upper Changi Road),"Blk 209 New Upper Changi Road #04-635, 460209",6446 3233,6443 3763,stalfordlearning@yahoo.com.sg
6,Stalford Learning Centre (Sengkang),"Blk 319B Anchorvale Drive #01-90, 542319",6793 3233,6792 3912,stalfordlearning@yahoo.com.sg
7,Stalford Learning Centre (Tiong Bahru Branch),"302 Tiong Bahru Road #05-06 Tiong Bahru Plaza, 168732",6272 3233,6270 9664,stalfordlearning@yahoo.com.sg
8,Stalford Learning Centre (Yishun),"930 Yishun Avenue 2 #02-22 Northpoint, 769098",6481 3233,6555 3690,ruby@stalford.com.sg
9,Star River Language School,"302 Tiong Bahru Road #02-144 Tiong Bahru Plaza, 168732",6271 0064,,info.starriver@gmail.com
10,Stargazer Enrichment Centre,"Blk 265 Bukit Batok East Avenue 4 #01-389, 650265",6563 1088,,stargazerenrichment@gmail.com
11,Starland Learning House,"Blk 29A Chai Chee Avenue #01-74, 461029",6241 7009,6241 7009,starland29a@yahoo.com
12,Start Smart Learning Centre,"Blk 164 Tampines Street 12 #01-289, 521164",9631 9678,,johncmg@singnet.com
13,Stepping Stones Learning Centre,"(Main) Blk 145 Teck Whye Avenue #01-159, 680145",6763 9798,,contact@steppingstones.com.sg
14,Stepping Stones Learning Centre,"Blk 258 Bukit Panjang Ring Road #01-52 (2nd Storey), 670258",6736 2660,,contact@steppingstones.com.sg
15,Strand Tutorial School,"587 Bukit Timah Road #03-32 Coronation Plaza, 269707",6467 3186,6286 7731,strand@singnet.com.sg
16,Student First Education Centre,"144 Upper Bukit Timah Road #03-13 Beauty World Centre, 588177",6904 6769,,contact@studentfirsteducation.com.sg
17,Studio Haroobee School of Visual Art,"(Main) 8 Raffles Avenue #02-20 Esplanade Mall, 039802",6336 9611,6336 9610,admin@studioharoobee.edu.sg
18,Studio Haroobee School of Visual Art,"35 Rochester Drive #02-23 The Rochester, 138639",6469 5090,,rochester@studioharoobee.edu.sg
19,Study Room,"Blk 206 Toa Payoh North #01-1227, 310206",6354 1847,,enquiries@studyroom.sg
20,Success Education Centre,"Blk 171 Stirling Road #01-1111, 140171",6473 6490,,successtirling@gmail.com
1,Success Learning Centre,"Blk 524 Serangoon North Avenue 4 #B1-46, 550524",6484 6028,,
2,Success.NAT Tutorial Centre,"Blk 107 Serangoon North Avenue 1 #01-683, 550107",success.nat@gmail.com,,
3,Suczest Education Centre,"Blk 431 Clementi Avenue 3 #01-354, 120431",6774 1909,,chuabc8@yahoo.com.sg
4,SummerNotes School of Music,"Blk 501 Jurong West Street 51 #04-257, 640501",6569 1728,6569 1728,admin@summernotes.com
5,Sun Friends Learning Centre,"Blk 305 Ubi Avenue 1 #02-165, 400305",6547 1175,,sebtck@hotmail.com
6,Sundai Linden School,"c/o 1 Grange Road #13-01 Orchard Building, 239693",6235 2221,6734 3314,
7,Sunflower Education Centre,"1 Marine Parade Central #09-09 Parkway Centre, 449408",6346 1185,6346 1185,info@sunflower.edu.sg
8,Super Chinese Learning Centre,"217 East Coast Road #02-01/02 Tides, 428915",6970 5585,,songlin0305@gmail.com
9,Swedish Supplementary Education School,"c/o Embassy of Sweden, 1 Temasek Avenue #14-03 Millenia Tower, 039192",6415 9720,6415 9747,ordforande@svenskaskolansingapore.se
10,Sylvia McCully School of Dancing,"301 Upper Thomson Road #03-21 Thomson Plaza, 574408",6457 6995,,sylviamccully@yahoo.com
11,Symphony Music School,"1 Woodlands Square #05-04 Causeway Point, 738099",6893 3373,6893 3130,Symphony.michael@gmail.com
12,Tampines St 83 Learning Centre,"Blk 866A Tampines Street 83 #03-06 Tampines Central Community Complex, 521866",6785 2025,,serenetbh@yahoo.com.sg
13,Tao Man Yuan Enrichment and Tuition Centre,"Blk 158 Bedok South Avenue 3 #01-591, 460158",6633 1762,,wentianjing@sina.com
14,TD Education Centre,"540 Sims Avenue #02-01 Sims Avenue Centre, 387603",6748 9001,6748 9001,info@tdgrp.com.sg
15,Teacher Ping School of Music,"321 Alexandra  Road #03-19 Alexandra Central, 159971",9737 3627,,start@teacherping.com
16,TEP Educational Centre,"Blk 104C Depot Road #01-04, 103104",6278 0522,6278 0276,
17,TET Education Centre,"587 Bukit Timah Road #03-15 Coronation Plaza, 269707",9070 6248,,thateconstutor@gmail.com
18,The A League Learning Centre,"Blk 435 Hougang Avenue 8 #B1-1679, 530435",6385 3348,,tuition@ALeague.com.sg
19,The Annexe Project Educational Centre,"Blk 844 Sims Avenue #01-716, 400844",6573 2802,,enquiries@annexeproject.com
20,The Ark of Knowledge Education Centre,"Blk 446 Clementi Avenue 3 #01-191 (2nd Storey), 120446",6774 1572,,paulineteowl@gmail.com
1,The Chalkboard Academy,"Blk 82 Marine Parade Central #01-614 (2nd Storey), 440082",6348 8910,,thechalkboardacademy@gmail.com
2,The Cognitive Hub Education Centre,"12A Chun Tin Road, 599599",8623 4392,,info@cognitivehub.com
3,The Counting Space Learning Hub,"1187 Upper Serangoon Road #01-66 The Midtown, 533971",9190 9800,,hello@thecountingspace.com.sg
4,The Education Lab,"Blk 4 Queen's Road #02-121, 260004",9660 7113,,shaunsoo@gmail.com.sg
5,The Enrichment Classroom,"(Main) 30 Bukit Batok Street 31 #01-02 Hong Kah North Community Club, 659440",9101 3031,,irene@enrichment.com.sg
6,The Enrichment Classroom,"20 Jurong West Street 93 #02-08 Jurong West Sports & Recreation Centre, 648965",9101 3031,,irene@enrichment.com.sg
7,The Enrichment Classroom,"2 Sembawang Crescent #04-01 Canberra Commuity Club, 757632",9101 3031,,irene@enrichment.com.sg
8,The Eton Academy,"Blk 133 Canberra View #03-09, 750133",6970 2080,,hello@theetonacademy.com.sg
9,The GrayMatter Education Centre (Farrer),"Blk 3 Queen's Road #02-165, 260003",6513 1433,,kit@gmeducation.com
10,"The Japanese Supplementary School, Singapore","95 Clementi Road, 129782",6777 5560,6775 3032,hoshuko@jss.edu.sg
11,The Junior Learners Learning Centre,"(Main) Blk 147 Potong Pasir Avenue 1 #02-91, 350147",6285 5181,,junior_learners@yahoo.com.sg
12,The Junior Learners Learning Centre,"Blk 443 Pasir Ris Drive 6 #03-04, 510443",6214 2282,,junior_learners@yahoo.com.sg
13,The Knowledge Key Tuition Centre,"170 Upper Bukit Timah Road #B2-03 Bukit Timah Shopping Centre, 588179",6467 8568,,wiseice@singnet.com.sg
14,The Learners' Club Education Center,"896 Dunearn Road #03-01H Sime Darby Centre, 589472",9679 4974,,chuawailing1@gmail.com
15,The Learning Axis (Jing Xin Bu Xi Zhong Xin),"Blk 408 Ang Mo Kio Avenue 10 #01-789 (2nd Storey), 560408",6452 7300,,
16,The Learning Desk Education Centre,"896 Dunearn Road #-04-06B Link@896, 589472",6970 7536,,sylvia@thelearningdesk.com.sg
17,The Learning Museum,"Blk 38 Beo Crescent #01-30 (2nd Storey), 160038",8388 5232,,thelearningmuseum@live.com
18,The LearningLab Education Centre,"(Main) 101 Thomson Road #03-03 United Square, 307591",6500 8151,,enquiry@thelearninglab.com.sg
19,The LearningLab Education Centre,"35 Rochester Drive #02-26 to #02-35 The Rochester, 138639",6238 1171,,enquiry@thelearninglab.com.sg
20,The Little Prince Language School,"Blk 963 Jurong West Street 91 #01-310, 640963",6792 5114,6792 5114,enquiries@thelittleprince.com.sg
1,The Math Studio,"262 Balestier Road #04-03 Okio, 329714",6816 7600,,jeff@themathstudio.com.sg
2,The Oak Tree Enrichment Centre,"607 Bukit Timah Road #02-01, 269708",6469 0660,,
3,The Piano Academy,"1 Coleman Street #04-21 The Adelphi, 179803",6336 9886,,info@jazzpiano.com.sg
4,The Pique Lab Learning Centre,"(Main) 10 Jalan Serene #02-20 Serene Centre, 258748",6909 1063,,hello@thepiquelab.com
5,The Pique Lab Learning Centre,"557 Bukit Timah Road #01-06/07 Crown Centre, 269694",6909 1063,,hello@thepiquelab.com
6,The R Learning Lab,"321 Alexandra Road #03-11 Alexandra Central, 159971",6252 3024,,louise.grant@repton.edu.sg
7,The Raffles Trust School of Higher Learning,"Blk 21 Ghim Moh Road #01-149, 270021",6463 8597,6463 6133,clm@rafflestrust.org
8,The Science Lab Learning Centre,"215N Upper Thomson Road, 574349",6456 0143,,d_loke@hotmail.com
9,The Science Workshop Education Centre,"1187 Upper Serangoon Road #02-24 The Midtown, 533971",9863 8845,,thescienceworkshop.sg@gmail.com
10,The Study School,"1 Jalan Anak Bukit #02-45 Bukit Timah Plaza, 588996",6466 5324,,chooihoe@thestudyschool.com.sg
11,The Thinking Minds - A Learning Centre,"Blk 217 Bukit Batok Street 21 #01-361, 650217",9385 8068,,angelateo15@gmail.com
12,The Tots' Classroom,"Blk 531 Bedok North Street 3 #01-704, 460531",6445 5881,,thetotsclassroom@mail.com
13,The Word Learning Centre,"900 South Woodlands Drive #06-02 Woodlands Civic Centre, 730900",6219 4701,6219 4702,enquiry@thewordlearningcentre.com
14,The Write Connection Learning Centre,"(Main) 733 Bukit Timah Road #02-05, 269748",6635 3515,,enquiry@thewriteconnection.com.sg
15,The Write Connection Learning Centre,"293 Lorong 6 Toa Payoh #02-03 SAFRA Clubhouse (Toa Payoh), 319387",6931 7980,,tpy@thewriteconnection.com.sg
16,The Write Connection Learning Centre,"80 Marine Parade Road #09-05/06 Parkway Parade, 449269",6440 4540,,enquiry@thewriteconnection.com.sg
17,The Write Connection Learning Centre,"Blk 202 Bedok North Street 1 #01-487/489, 460202",6920 7511,,beok@thewriteconnection.com.sg
18,The Write Connection Learning Centre,"1 Tampines Central 5 #03-16 CPF Tampines Building, 529508",6920 8681,,tpn@thewriteconnection.com.sg
19,The Write Connection Learning Centre,"Blk 237 Bishan Street 22 #B1-176, 570237",6753 5237,,bn@thewriteconnection.com.sg
20,The Write Connection Learning Centre,"Blk 134 Jurong Gateway Road #02-307E, 600134",6816 7123,,jr@thewriteconnection.com.sg
1,The Write Connection Learning Centre,"351 Sembawang Road, 1st Storey, 758357",6816 0100,,sem@TheWriteConnection.com.sg
2,Think Tank - Growing Thinkers Learning Centre,"69 Frankel Avenue (1st Storey), 458197",6636 3685,,enquiries@thethinktank.sg
3,Think Teach Academy,"246C Upper Thomson Road Thomson Garden Estate, 574370",6451 9500,,algene@thinkteachacademy.com
4,Thinkel Learning Lab,"91 Bukit Batok West Avenue 2 #03-02, 659206",6515 1067,,contactkelvinsim@yahoo.com
5,Thinkerium Learning Centre,"Blk 71 Lorong 4 Toa Payoh #01-385, 310071",9748 9854,,thinkerium@gmail.com
6,Thinkers' Thoughts Enrichment Centre,"1 Choa Chu Kang Grove #03-07 ITE College West, 688236",8220 2688,,thinkers_thoughts@outlook.com
7,Thought and Words Learning Centre,"15 Siglap Road #01-11 Mandarin Gardens, 448912",6241 5531,,tnw.writers@gmail.com
8,Tian Xing Education Centre,"Blk 633 Bukit Batok Central #01-130 (2nd Storey), 650633",6909 9140,,tianxingedu@gmail.com
9,Tien Hsia Language School,"(Main) 190 Clemenceau Avenue #04-02 Singapore Shopping Centre, 239924",6883 2131,6883 2796,enquiry@tienhsia.com
10,Tien Hsia Language School,"1 Marine Parade Central #10-04 to #10-07 Parkway Centre, 449408",6348 2131,,enquiry@tienhsia.com
11,Tien Hsia Language School,"Blk 506 Tampines Central 1 #01-361 (3rd Storey), 520506",6784 2131,,enquiry@tienhsia.com
12,Tien Hsia Language School,"Blk 205 Hougang Street 21 #04-01 Heartland Mall-Kovan, 530205",6487 2131,6282 9103,enquiry@tienhsia.com
13,Tien Hsia Language School,"1 Jurong West Central 2 #03-07A Jurong Point, 648886",6564 2131,6316 0689,enquiry@tienhsia.com
14,Tien Hsia Language School,"1 Bukit Batok Central Link #05-10 West Mall, 658713",6314 2131,6515 0628,enquiry@tienhsia.com
15,Tien Hsia Language School,"10 Choa Chu Kang Road #01-02 Bukit Panjang Delivery Base, 689379",6238 8558  / 6314 2131,,enquiry@tienhsia.com
16,Tien Hsia Language School,"Blk 355 Sembawang Way #02-01, 750355",6556 2131,6556 2608,enquiry@tienhsia.com
17,Tien Hsia Language School,"9 Sentul Crescent #04-04, 828654",6281 2131,6385 7701,enquiry@tienhsia.com
18,Tim Gan Math Learning Centre,"587 Bukit Timah Road #03-36 Coronation Plaza, 269707",6462 2547,,timganmath@gmail.com
19,Tinkerlab Science Learning Centre,"985 Upper Serangoon Road (2nd Storey), 534731",6315 1986,,tinker_lab@yahoo.com
20,Tiong Bahru Learning Centre,"Blk 46 Jalan Bukit Ho Swee #01-888, 160046",9683 3557,,TiongBahruLC@outlook.sg
1,TLS Tutorial Centre,"10 Winstedt Road #02-04 Block A, 227977",6836 0061,,rodney@tlsacademy.org
2,TML Tuition Shop,"Blk 118 Aljunied Avenue 2 #02-124, 380118",9144 5054,,tmltuitionshop@yahoo.com.sg
3,Tokyo Codomo Japanese Language Centre,"19 Tanglin Road #12-05 Tanglin Shopping Centre, 247909",6734 3254,6734 3254,
4,Tomas Music School,"50 East Coast Road #01-98 Roxy Square, 428769",6344 3671,6348 9798,enquiries@tomas-music.com
5,Tomo Japanese Language School,"190 Clemenceau Avenue #03-24 Singapore Shopping Centre, 239924",9758 3140,,kobekinuta@gmail.com
6,Toppers Education Centre,"149 Rochor Road #05-13/14 Fu Lu Shou Complex, 188425",6336 4262,6474 2484,info@topperseducation.com
7,Topperz@Work Education Centre,"420 North Bridge Road #04-02/03 North Bridge Centre, 188727",6338 6434,6345 6794,shanthi@topperzatwork.com
8,Trinity Learning Centre,"Blk 134 Jurong East Street 13 #04-309E, 600134",6561 9113,,trinityteach@yahoo.com.sg
9,Tropics Language School,"520 North Bridge Road #B1-01 Wisma Alsagoff, 188742",6339 2621,,tropicsls@gmail.com
10,True Learning Centre (JCUBE),"2 Jurong East Central 1 #04-02/03 JCube, 609731",6708 9382,,enquiry@truelearning.com.sg
11,True Learning Centre (Kovan),"2 Kovan Road #01-07 Simon Plaza, 548008",6285 8648,,angeline@truelearning.com.sg
12,True Learning Centre (Novena),"179B Thomson Road  Goldhill Shoppijng Centre, 307626",6252 8189,,angeline@truelearning.com.sg
13,TSA The Science Academy,"Blk 192 Lorong 4 Toa Payoh #01-674 (2nd Storey), 310192",6566 8425,,contactus@thescienceacademy.sg
14,Tsing Ying Language School,"Blk 134 Jurong Gateway Road #04-309D, 600134",6563 0600,6563 0600,admin@21tsingying.com
15,Tuffaha Readers' Niche,"150 Changi Road #02-04 Guthrie Building, 419973",6247 9004,6247 9004,tuffahareaders@hotmail.com
16,Tulip Montessori School,"Blk 642 Choa Chu Kang Street 64 #01-65, 680642",6762 0688,,tulip@tulipmontessori.com
17,Tutor Next Door Tuition Center,"66 East Coast Road #05-09 The Flow, 428778",8909 6789,,tutornextdoorsg@gmail.com
18,Twinkle Stars Learning Centre,"9 One-North Gateway #01-39, 138643",6777 2494,,info@twinklestars.sg
19,Twinkle Stars Montessori,"Blk 86 Marine Parade Central #04-316, 440086",6440 0983,6440 0983,ts_montessori@yahoo.com.sg
20,U E Learning Centre,"Blk 134 Jurong Gateway Road #04-307A, 600134",6425 0982,,gh_chee@hotmail.com
1,U-Excel Education Centre,"35 Rochester Drive #02-15/16 The Rochester, 138639",6469 9007,,Uexcel77@gmail.com
2,U.Excel Reading and Writing Learning Hub,"101 Thomson Road #01-20/27 United Square, 307591",6258 4722,6258 4503,enquiries@gugifted.com
3,UMA Mental Arithmetic Learning Centre,"Blk 845 Yishun Street 81 #02-180, 760845",6759 6978,,zhushuihua@yahoo.com
4,United Lisen Education Centre,"37 Middle Road #05-00 UWEEI Building, 188946",6635 1111,,emjoyenglishsg@gmail.com
5,Uptas Learning Hub,"Blk 209 New Upper Changi Road #03-647, 460209",9170 5114,,info@uptas.sg
6,Victory Tuition Centre,"Blk 432 Clementi Avenue 3 #01-280, 120432",9478 1598,,victorymaths@gmail.com
7,Vienna Music School,"(Main) 865 Mountbatten Road #06-16 Katong Shopping Centre, 437844",6702 7995,,viennamusic.sg@gmail.com
8,Vienna Music School,"33 Sengkang West Avenue #04-10/11/12 The Seletar Mall, 797653",6702 7995  / 6341 6995,,viennamusic.sg@gmail.com
9,VIP Learning Centre,"Blk 102 Yishun Avenue 5 #04-127, 760102",6852 9910,6852 9910,myviplearning@live.com
10,Visiblemath Academy,"(Main) 6 Sin Ming Road #01-10 Sin Ming Plaza Tower 2, 575585",6456 7212,,admin.sm@visiblemath.com.sg
11,Visiblemath Academy,"1 Goldhill Plaza #02-39, 308899",6252 5138,,admin.gh@visiblemath.com.sg
12,Vivace Music School,"Blk 115B Alkaff Crescent #01-07, 342115",9007 3052,,vivacemusicsg@gmail.com
13,Walter Education Centre,"Blk 145 Teck Whye Avenue #01-161, 680145",6760 9392,,walter.education.centre@gmail.com
14,WAO Learning Centre,"545 Orchard Road #16-02 & #16-06 Far East Shopping Centre, 238882",6733 5144,,sgwebmail@wao-corp.com
15,Waseaca Tuition Centre [fka Kyodai Shinken Japanese Tuition Centre],"c/o 360 Orchard Road #04-03 International Building, 238869",6734 1969,6235 9361,singapore@waseaca.com.sg
16,Wetalk Education Centre,"402 Orchard Road #02-23/24 Delfi Orchard, 238876",6269 9888,6694 2017,contact.sg@wetalk.com
17,Willow Nursery,"26A Toh Tuck Road, 596697",9027 1722,,tracy@willownursery.edu.sg
18,Windsor Learning Centre (Jurong West),"Blk 709 Jurong West Street 71 #01-34, 640709",6792 2661,6569 6811,reginalow@gmail.com
19,Winners Education Centre,"Blk 261 Waterloo Street #03-21 Waterloo Centre, 180261",9828 7357,,admin@winnerseducation.com
20,Wisdomtree Learning Centre,"Blk 636 Bukit Batok Central #01-06, 650636",6899 2566,,wisdomtree.info@gmail.com
1,Wizpals Education Centre,"Blk 503 Bishan Street 11 #01-450, 570503",9627 0300,,vanita_pal@yahoo.com.sg
2,Wolfgang Violin Studio,"(Main) 81 Clemenceau Avenue #02-26 UE Square, 239917",6732 0138,,enquiry@wolfgangviolin.com
3,WorkPlayz Montessori,"Blk 88A Telok Blangah Heights #01-02, 101088",6272 2287,,info@workplayz.com.sg
4,Workplayz Montessori School,"17 Yuk Tong  Avenue Chun Tin Court, 596322",9800 7180,,enquiry@workplayzmontessori.com
5,Wr!ters @ Work Enrichment Centre,"Blk 320 Clementi Avenue 4 #01-15, 120320",6774 2618,,kaining_ang@writersatwork.com.sg
6,Wright Education Centre,"1 Charlton Lane #01-02 Charlton Corrner, 539631",6284 0890,,info@wrighteducationcentre.com
7,Write Approach Learning Center,"Blk 807 Yishun Ring Road #01-4211, 760807",9634 9764,,
8,Write Edge Learning Centre (BT) [fka The Write Corner Learning Centre (BT)],"144 Upper Bukit Timah Road #03-11 Beauty World Centre, 588177",8800 4865,,admin@thewritecorner.sg
9,Wynn Education Centre,"170 Upper Bukit Timah Road #B2-13B Bukit Timah Shopping Centre, 588179",8135 6556,,wynn.khoo@gmail.com
10,X-Factor! Quotient Academy,"200 Upper Thomson Road #01-01, 574424",6250 5877,,lina_ting@yahoo.com
11,Xian Dai Education Centre [fka Xian Dai Tuition Centre],"604 Sembawang Road #03-06/07 Sembawang Shopping Centre, 758459",6758 8563,6729 8658,xiandaiedu@hotmail.com
12,Xin Yu Wen Language Centre,"Blk 131 Jalan Bukit Merah #01-1565, 160131",6273 8802,6273 8802,xinyuwen@yahoo.com
13,Xing Zhi Language Centre,"Blk 116 Jalan Bukit Merah #01-1643, 160116",6377 0656,6699 6696,xzxy@ymail.com
14,Xue Er You Language Centre (Jurong) [fka HNL Language Centre (Jurong)],"Blk 501 Jurong West Street 51 #03-259/261, 640501",6425 3303,6425 3033,chiuyeewei@gmail.com
15,Xue Er You Language Centre [fka HNL Language Centre],"Blk 626 Choa Chu Kang Street 62 #01-180, 680626",6762 4288,6765 4288,chiuyeewei@gmail.com
16,Xuelin Learning Hub,"(Main) 1 Jalan Anak Bukit #02-01C Bukit Timah Plaza, 588996",6483 1055,6556 2269,awjimmy@singnet.com.sg
17,Xun Jiao Enrichment Centre,"Blk 261 Waterloo Street #02-26 Waterloo Centre, 180261",6337 7116,6339 6013,jyscc@singnet.com.sg
18,Yamaha  Music School,"5 Ang Mo Kio Central 2 #03-05/06 Djitsun Mall, 569663",6740 9301,,sally_lee@gmx.yamaha.com
19,Yamaha Music School,"(Main) 68 Orchard Road #06-01/02 Plaza Singapura, 238839",6740 9856,,school-sgp@music.yamaha.com
20,Yamaha Music School,"5 Stadium Walk #03-07 Leisure Park Kallang, 397693",6740 9811,,cecilia_yue@gmx.yamaha.com
1,Yamaha Music School,"4 Tampines Central 5 #05-04 Tampines Mall, 529510",6740 9877,,sally_lee@gmx.yamaha.com
2,Yamaha Music School,"Blk 202 Hougang Street 21 #03-00, 530202",6740 9214,6740 9226,cecilia-yue@gmx.yamaha.com
3,Yamaha Music School,"301 Upper Thomson Road #03-24 Thomson Plaza, 574408",6740 9388,,Sally_lee@gmx.yamaha.com
4,Yamaha Music School,"604 Sembawang Road #03-14/15 Sembawang Shopping Centre, 758459",6740 9226,,Sally_lee@gmx.yamaha.com
5,Yamaha Music School,"9 Sentul Crescent #03-02/03, 828654",6740 9341,,Kristina_quah@gmx.yamaha.com
6,Yang Education Centre,"Blk 204 Hougang Street 21 #02-111, 530204",6487 4627,6487 4627,yangeducation@yahoo.com.sg
7,Yang Language School,"200 Turf Club Road #04-05 The Grandstand, 287994",6463 0060,,jason.chua@yanglanguage.com.sg
8,YES Mathematics Tuition Centre,"Blk 135 Jurong East Street 13 #04-335, 600135",6896 3061,6896 3062,
9,Yi Learning Centre,"Blk 148 Potong Pasir Avenue 1 #02-31, 350148",6282 2823,,yitonglearning2014@gmail.com
10,Yishun - Chong Pang Learning Centre,"Blk 102 Yishun Avenue 5 #02-109, 760102",6482 6383,6458 2779,chongpang_kumon@joust.com.sg
11,Yiwen Tuition and Study Centre,"Blk 531 Bedok North Street 3 #01-706, 460531",6242 0978,6242 0978,ywtasc@gmail.com
12,Ykidz Monte Willow Enrichment Centre,"Blk 234 Lorong 8 Toa Payoh #01-270, 310234",6354 2669,6244 9555,enquiry@ykidz.edu.sg
13,YMCA Learning Centre,"1 Orchard Road YMCA Level 2, 238824",6586 2222,6336 0064,eductr@ymca.edu.sg
14,You Cheng Education Centre,"1 Woodlands Road #02-19 Junction 10, 677899",6904 6986,,youcheng@youchengeducation.com
15,YouClass Learning Centre,"6 Raffles Boulevard #02-100 Marina Square, 039594",6681 6619,,wln@eistudy.com
16,Young Prodigy Learning Centre (Toa Payoh Branch),"500 Lorong 6 Toa Payoh #04-42 HDB Hub, 310500",6253 1217,6253 0717,yprodigy@singnet.com.sg
17,YPS Learning Center,"883 North Bridge Road #01-06 Southbank, 198785",8289 0128,,clcnl@hotmail.com
18,Yu Cai Language Centre,"Blk 448 Hougang Avenue 10 #B1-529, 530448",6387 7881  / 6387 7178,,info@yucai.com.sg
19,Yu Cai Learning Centre,"BLK 481 Tampines Street 44 #01-277 (2nd Storey), 520481",6635 1918,,zhywyd@hotmail.com
20,Yu Ren Tuition Centre,"144 Upper Bukit Timah Road #01-12/13 Beauty World Centre, 588177",6462 3956,6462 3956,yurentuitioncentre@gmail.com
